Facility Name,Hospital overall rating,Beds Available ,Cardio Rating,Neuro Rating,Ortho Rating,Doctors on Duty,Distance,Y
MEDINA REGIONAL HOSPITAL,2,25,1,4,1,6,11,0
"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",3,27,4,1,2,20,29,0
COMMUNITY FIRST MEDICAL CENTER,3,16,4,2,2,20,4,0
TAHOE FOREST HOSPITAL,5,25,5,4,4,17,23,1
HCA HOUSTON HEALTHCARE PEARLAND,3,30,1,2,5,19,19,1
EXCELA HEALTH WESTMORELAND HOSPITAL,3,15,4,4,1,10,21,0
MARYMOUNT HOSPITAL,5,2,4,4,5,9,13,1
RIVENDELL BEHAVIORAL HEALTH SERVICES,3,28,4,2,1,10,28,0
ROUNDUP MEMORIAL HEALTHCARE,3,24,3,4,1,14,9,0
MADISON COUNTY MEMORIAL HOSPITAL,2,29,1,2,1,16,7,0
SCHLEICHER COUNTY MEDICAL CENTER,3,12,2,3,3,14,2,1
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,4,25,5,5,2,18,12,0
AIKEN REGIONAL MEDICAL CENTER,3,21,2,3,4,9,21,0
NORTHERN LIGHT BLUE HILL MEMORIAL HOSPITAL,3,6,2,2,3,16,29,0
TANNER MEDICAL CENTER - CARROLLTON,4,6,2,5,4,18,17,0
KENNEDY KRIEGER INSTITUTE,4,26,4,3,4,11,17,1
ROCKEFELLER UNIVERSITY HOSPITAL,4,11,3,5,4,5,11,1
TAMPA GENERAL HOSPITAL,4,11,5,2,5,9,2,1
MERCY ST ANNE HOSPITAL,4,26,5,1,4,9,18,1
RIVERVIEW BEHAVIORAL HEALTH,4,25,2,4,4,11,30,0
FRANKLIN COUNTY MEDICAL CENTER,4,10,2,4,5,11,6,1
WEST HILLS HOSPITAL & MEDICAL CENTER,2,11,2,1,3,9,16,0
MERCY HOSPITAL JEFFERSON,2,6,2,2,2,15,29,0
THREE RIVERS BEHAVIORAL HEALTH,4,4,4,4,3,6,4,0
ST CHARLES SURGICAL HOSPITAL LLC,3,29,2,1,5,20,27,1
HIGHLANDS CASHIERS HOSPITAL INC,2,14,1,2,3,6,20,0
SPARROW IONIA HOSPITAL,4,13,4,3,4,7,22,0
ST LUKE'S ELMORE MEDICAL CENTER,2,15,1,3,2,17,21,0
SOUTH CAMERON MEMORIAL HOSPITAL,2,9,2,1,2,20,21,0
EASTERN LONG ISLAND HOSPITAL,4,3,4,2,5,15,10,1
PRESENCE SAINT JOSEPH MEDICAL CENTER,3,3,4,4,1,15,11,0
FAIRVIEW NORTHLAND REGIONAL HOSPITAL,4,26,2,4,5,7,11,1
"MONTGOMERY COUNTY EMERGENCY SERVICE, INC",3,13,5,1,2,6,13,0
GOOD SAMARITAN REGIONAL HLTH CENTER,4,18,4,3,3,9,30,0
THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,3,12,1,3,5,5,29,0
COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR,4,5,3,5,4,5,3,1
HUMBOLDT GENERAL HOSPITAL,2,26,1,3,1,17,12,0
CEDAR RIDGE,4,3,1,5,5,12,14,1
HEALTH ALLIANCE - CLINTON HOSPITAL,4,30,4,4,2,10,10,1
NEWPORT COMMUNITY HOSPITAL,3,6,5,1,3,9,8,0
WEKIVA SPRINGS,4,16,3,4,3,10,10,0
BIENVILLE MEDICAL CENTER,3,12,3,1,5,16,10,1
CHILDREN'S HOSP OF LOS ANGELES,2,19,2,2,1,11,20,0
HILL REGIONAL HOSPITAL,3,28,3,4,2,14,23,0
PORTER-STARKE SERVICES INC,3,4,2,1,4,7,24,0
DALLAS REGIONAL MEDICAL CENTER,3,26,2,1,5,15,7,1
HAWKINS COUNTY MEMORIAL HOSPITAL,3,29,2,1,4,5,29,0
UPMC PINNACLE LANCASTER,2,27,2,3,1,15,11,0
ST LUKE'S HOSPITAL AT THE VINTAGE,4,29,4,4,3,19,23,0
BAYSHORE MEDICAL CENTER,3,3,3,2,2,20,9,0
COMMUNITY HOSPITAL OF BREMEN INC,4,28,1,5,5,8,26,1
"ASPIRUS MEDFORD HOSPITAL & CLINICS, INC",3,27,3,2,4,7,16,1
"WOMANS HOSPITAL OF TEXAS,THE",5,6,5,4,4,12,20,0
SUMMIT OAKS HOSPITAL,2,3,1,3,1,13,9,0
CHI HEALTH MERCY COUNCIL BLUFFS,3,2,1,1,5,15,10,1
"GRANT-BLACKFORD MENTAL HEALTH, INC",4,15,5,3,2,20,22,0
GEORGIA REGIONAL HOSPITAL ATLANTA,3,12,4,1,2,12,18,0
FRANCISCAN HEALTH MOORESVILLE,3,14,2,4,2,18,24,0
ST CLAIRE REGIONAL MEDICAL CENTER,3,14,2,3,2,17,18,0
TRISTAR SOUTHERN HILLS MEDICAL CENTER,2,24,2,2,1,12,8,0
NORTH OTTAWA COMMUNITY HEALTH SYSTEM,4,25,5,2,5,7,28,1
WAGNER COMMUNITY MEMORIAL HOSPITAL - CAH,2,10,1,2,3,20,8,0
ASPIRUS IRONWOOD HOSPITAL,4,5,3,2,5,13,22,0
ST JOSEPH HOSPITAL,3,7,3,4,1,18,2,0
HCA HOUSTON HEALTHCARE CONROE,3,9,3,3,3,9,12,0
WEST CARROLL MEMORIAL HOSPITAL,5,25,4,5,4,19,30,0
OPELOUSAS GENERAL HEALTH SYSTEM,3,3,4,4,1,14,26,0
NOXUBEE GENERAL CRITICAL ACCESS HOSP,3,23,2,3,3,7,9,1
MERCY HARVARD HOSPITAL,3,5,3,2,3,11,24,0
ADVENTHEALTH SHAWNEE MISSION,3,13,3,1,4,9,30,0
OCEANS BEHAVIORAL HOSPITAL OF ALEXANDRIA,3,26,2,2,4,11,29,0
"HENRY COUNTY HOSPITAL, INC",5,29,4,4,5,6,3,1
RIDGEVIEW INSTITUTE,5,21,5,4,4,12,19,1
CLAY COUNTY MEMORIAL HOSPITAL,5,30,5,4,5,9,2,1
ST MARY'S MEDICAL CENTER,4,11,4,4,4,15,17,0
CENTRACARE HEALTH SYSTEM - LONG PRAIRIE,3,18,4,3,2,17,20,0
KELL WEST REGIONAL HOSPITAL,2,24,2,2,2,5,17,0
WASHAKIE MEDICAL CENTER,3,6,1,4,2,13,15,0
NIX HEALTH CARE SYSTEM,2,9,3,2,1,8,12,0
EINSTEIN MEDICAL CENTER MONTGOMERY,3,2,4,2,2,18,25,0
SOUTH TEXAS SURGICAL HOSPITAL,4,29,1,4,5,12,28,1
MONTGOMERY COUNTY MEMORIAL HOSPITAL,5,10,5,3,5,5,29,0
JASPER GENERAL HOSPITAL,3,19,4,1,2,5,5,0
HIMA-SAN PABLO FAJARDO,4,9,4,1,5,20,30,0
CENTRAL STATE HOSPITAL,4,30,4,4,2,17,7,1
ALLIANCEHEALTH DURANT,2,18,1,4,1,9,13,0
DRISCOLL CHILDRENS HOSPITAL,3,13,4,1,4,8,29,0
MEMORIAL HOSPITAL,3,7,4,2,1,18,12,0
WAR MEMORIAL HOSPITAL INC,3,28,3,1,5,15,4,1
PUTNAM HOSPITAL CENTER,4,8,2,3,5,11,24,0
HENNEPIN COUNTY MEDICAL CENTER 1,2,25,2,2,2,19,30,0
NEW LONDON HOSPITAL,3,21,2,3,2,5,23,0
THE HOSPITALS OF PROVIDENCE MEMORIAL CAMPUS,4,6,5,2,3,7,28,0
ASCENSION RIVER DISTRICT HOSPITAL,3,12,4,4,1,20,8,0
LIMA MEMORIAL HEALTH SYSTEM,5,14,3,5,5,13,17,1
ESSENTIA HEALTH VIRGINIA,4,8,3,5,4,11,9,1
BOLIVAR GENERAL HOSPITAL,4,9,5,1,5,7,21,0
SUN BEHAVIORAL HEALTH,2,29,1,1,4,19,6,1
INDIANA UNIVERSITY HEALTH FRANKFORT INC,5,3,4,4,5,12,22,0
BAYFRONT HEALTH SEVEN RIVERS,3,2,3,4,2,12,30,0
BRATTLEBORO MEMORIAL HOSPITAL,4,13,3,4,5,15,14,1
"PEAK BEHAVIORAL HEALTH SERVICES, LLC",3,12,5,2,1,7,20,0
DEER RIVER HEALTHCARE CENTER,4,25,5,3,4,11,3,1
WESTWOOD PEMBROKE HEALTH SYSTEMS,4,25,5,5,2,10,22,0
LICKING MEMORIAL HOSPITAL,2,19,2,1,3,8,11,0
CLARION HOSPITAL,3,8,1,3,4,10,3,1
WHITTIER HOSPITAL MEDICAL CENTER,3,4,4,2,1,20,18,0
HAMLIN MEMORIAL HOSPITAL,3,14,1,3,4,19,20,0
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,3,10,4,1,2,15,13,0
SOUTHEASTHEALTH,4,20,3,4,5,10,30,0
BEHAVIORAL HOSPITAL OF BELLAIRE,3,28,2,1,5,18,6,1
BRODSTONE MEMORIAL HOSP,2,25,1,3,1,6,3,0
ROANE MEDICAL CENTER,5,16,5,3,5,10,23,1
UPMC MCKEESPORT,5,30,5,5,5,7,1,1
NORTH ALABAMA MEDICAL CENTER,4,22,4,3,4,17,16,1
OHIO COUNTY HOSPITAL,5,4,4,5,5,19,5,1
TRENTON PSYCHIATRIC HOSP,2,14,1,3,2,15,23,0
BAPTIST MEDICAL CENTER JACKSONVILLE,5,7,5,5,5,8,30,0
KEDREN COMMUNITY MENTAL HEALTH CENTER,5,5,4,5,4,18,5,1
TWIN CITIES COMMUNITY HOSPITAL,4,7,4,4,4,9,22,0
NORTH MISSISSIPPI MEDICAL CENTER-WEST POINT,3,7,3,3,2,6,8,0
METHODIST MCKINNEY HOSPITAL,3,24,5,1,1,8,11,0
STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL,3,25,3,3,1,19,12,0
"CAROLINA CTR FOR BEHAVIORAL HEALTH,THE",4,18,3,4,3,12,2,1
GREAT PLAINS HEALTH,4,28,3,4,4,8,18,1
SHERIDAN COMMUNITY HOSPITAL,4,20,3,4,3,16,6,1
SAN ANTONIO STATE HOSPITAL,5,6,4,5,5,18,24,0
KONA COMMUNITY HOSPITAL,4,20,3,2,5,18,29,1
SAFE HAVEN HOSPITAL OF POCATELLO,2,16,1,3,1,10,29,0
MEMORIAL HOSPITAL OF CARBON COUNTY,3,5,2,3,2,10,18,0
LAFAYETTE SURGICAL SPECIALTY HOSPITAL,5,7,4,5,5,5,1,1
ASCENSION ST VINCENT'S SOUTHSIDE,3,12,2,3,2,8,25,0
NORTH SHORE MEDICAL CENTER,2,16,2,1,3,19,29,0
FREMONT HOSPITAL,5,7,4,5,5,20,29,0
MINIDOKA MEMORIAL HOSPITAL,4,27,2,4,4,17,28,0
EAST OHIO REGIONAL HOSPITAL,4,13,3,4,5,8,26,0
GLEN ROSE MEDICAL CENTER,2,17,4,1,1,20,26,0
SAINT THOMAS DEKALB HOSPITAL,3,30,5,1,1,13,1,1
SHARON REGIONAL HEALTH SYSTEM,3,21,5,1,2,7,21,0
MERCY HOSPITAL TURNER MEMORIAL,2,28,1,3,2,11,3,1
USMD HOSPITAL AT ARLINGTON L P,4,8,5,1,5,7,21,0
ST ELIZABETHS HOSPITAL,3,4,2,2,5,17,27,0
MERCY WALWORTH HOSPITAL & MEDICAL CENTER,5,23,4,5,5,14,3,1
COTTAGE HOSPITAL,3,23,2,4,2,17,2,1
ST FRANCIS HOSPITAL & MEDICAL CENTER,3,5,3,2,3,10,29,0
ST BERNARD PARISH HOSPITAL,3,12,4,2,1,18,22,0
ONSLOW MEMORIAL HOSPITAL,4,4,5,5,1,20,9,0
SHASTA REGIONAL MEDICAL CENTER,4,5,3,3,5,8,2,1
RIVER VALLEY MEDICAL CENTER,4,25,5,4,3,11,26,0
LOURDES MEDICAL CENTER,4,20,4,3,5,5,20,1
TAYLOR REGIONAL HOSPITAL,5,14,4,5,5,12,24,1
NORTH BIG HORN HOSPITAL DISTRICT,4,30,2,5,5,8,28,1
TALLAHATCHIE CRITICAL ACCESS HOSPITAL,3,18,1,2,5,17,6,1
GREAT FALLS CLINIC HOSPITAL,3,13,1,5,1,8,21,0
USMD HOSPITAL  AT FORT WORTH LP,4,3,4,4,4,16,5,1
ROLLING PLAINS MEMORIAL HOSPITAL,2,21,4,1,1,20,5,0
COX MONETT HOSPITAL,4,8,1,4,5,10,5,1
REGIONAL WEST MEDICAL CENTER,4,23,3,4,5,14,8,1
WAYNE GENERAL HOSPITAL,3,15,4,1,2,19,2,0
MERCY HOSPITAL AURORA,4,28,5,4,3,15,15,1
FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,4,3,3,2,5,9,1,1
SONOMA DEVELOPMENTAL CENTER,4,21,1,5,5,6,1,1
NORTHSIDE HOSPITAL FORSYTH,3,23,2,3,3,19,4,1
MESCALERO PHS INDIAN HOSPITAL,4,20,1,5,4,16,23,0
THE MONROE CLINIC,3,16,3,5,1,9,26,0
WESTFIELDS HOSPITAL AND CLINIC,3,19,3,4,1,15,8,0
LAC/HARBOR-UCLA MED CENTER,2,30,2,3,1,17,26,0
BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,4,15,4,1,5,20,15,1
ST JOSEPH MERCY CHELSEA,4,9,4,1,5,16,6,1
"WILLIS KNIGHTON MEDICAL CENTER, INC",2,12,1,3,1,10,17,0
SOUTHWEST MEMORIAL HOSPITAL,4,7,4,5,2,19,11,0
MCKENZIE COUNTY HEALTHCARE SYSTEMS INC,3,23,4,2,1,16,12,0
PROVIDENCE HOLY FAMILY HOSPITAL,4,25,4,3,5,10,2,1
OLYMPIA MEDICAL CENTER,3,16,3,2,2,17,21,0
ST LUKE COMMUNITY HOSPITAL,4,12,4,3,4,5,2,1
KAISER FOUNDATION HOSPITAL - VACAVILLE,5,5,4,5,4,10,24,0
YORK HOSPITAL,2,19,2,1,2,18,17,0
ST JOSEPH'S HOSPITAL,4,27,3,2,5,6,14,1
ALASKA PSYCHIATRIC INSTITUTE,4,9,4,4,2,20,16,0
HENDRY REGIONAL MEDICAL CENTER,3,23,5,2,1,18,26,0
POINCIANA MEDICAL CENTER,4,25,4,1,5,9,20,1
LONG ISLAND JEWISH MEDICAL CENTER,2,16,1,2,3,20,22,0
EDWARD MCCREADY MEMORIAL HOSPITAL,3,19,5,2,2,16,21,0
HUNTSVILLE HOSPITAL,3,21,4,4,1,10,30,0
NORTHWESTERN LAKE FOREST HOSPITAL,3,7,3,1,5,5,12,1
DECATUR MEMORIAL HOSPITAL,3,21,3,3,3,5,26,0
ST LOUIS CHILDRENS HOSPITAL,4,30,2,4,4,11,9,1
CASCADE VALLEY HOSPITAL,3,16,3,1,5,12,11,1
DOCTORS HOSPITAL OF SARASOTA,3,3,3,3,3,7,10,0
FAUQUIER HOSPITAL,4,3,3,5,2,9,21,0
ESSENTIA HEALTH NORTHERN PINES MEDICAL CENTER,2,29,2,1,3,7,28,0
NORTH HAWAII COMMUNITY HOSPITAL,5,27,5,5,4,11,12,1
PARK NICOLLET METHODIST HOSPITAL,3,20,4,1,3,14,2,1
WASHINGTON COUNTY HOSP INC,4,15,4,1,5,16,26,1
NORTHCREST MEDICAL CENTER,3,22,3,4,1,17,5,0
SAINT FRANCIS BARTLETT MEDICAL CENTER,5,24,4,5,4,15,15,1
BAYLOR SCOTT AND WHITE ORTHOPEDIC AND SPINE HOSPI,3,21,2,2,4,6,2,1
HUNTINGTON HOSPITAL,4,30,5,3,3,11,17,1
SANFORD BEMIDJI MEDICAL CENTER,4,29,4,2,4,15,10,1
FORT DEFIANCE INDIAN HOSPITAL,3,16,3,2,4,19,23,0
HARRIS REGIONAL HOSPITAL,3,12,5,3,1,16,16,0
HAZARD ARH REGIONAL MEDICAL CENTER,3,13,5,1,3,8,9,0
FIRELANDS REGIONAL MEDICAL CENTER,2,2,2,2,1,18,12,0
EL PASO PSYCHIATRIC CENTER,3,2,3,3,3,16,30,0
CLAY COUNTY HOSPITAL,5,6,5,5,4,14,4,1
ALEXIAN BROTHERS MEDICAL CENTER 1,3,25,1,5,3,6,19,0
MERCY HEALTH - WILLARD HOSPITAL,3,11,3,4,1,20,22,0
HOSPITAL DISTRICT #1 OF RICE COUNTY,4,17,2,4,5,12,12,1
FRIO REGIONAL HOSPITAL,3,18,3,2,2,12,20,0
MARK TWAIN MEDICAL CENTER,4,13,1,4,5,11,10,1
SAINT ALPHONSUS NEIGHBORHOOD HOSPITAL- SOUTH NAMPA,5,14,5,3,5,19,28,1
FAITH REGIONAL HEALTH SERVICES,4,10,3,2,5,13,8,1
ST TAMMANY PARISH HOSPITAL,3,8,3,3,3,19,10,0
MOBILE INFIRMARY MEDICAL CENTER,4,30,5,2,5,11,11,1
PILGRIM PSYCHIATRIC CENTER,4,24,4,2,5,10,1,1
LITTLE RIVER HEALTHCARE,3,21,3,2,3,10,17,0
INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL,3,9,2,2,3,12,19,0
SOVAH HEALTH DANVILLE,3,5,3,1,3,18,4,0
SAGEWEST HEALTH CARE,3,26,4,1,3,7,3,1
ADAMS COUNTY REGIONAL MEDICAL CENTER,3,13,4,4,1,17,21,0
GUNDERSEN TRI-COUNTY HOSPITAL AND CLINICS,3,26,3,1,5,14,20,1
HEALDSBURG DISTRICT HOSPITAL,5,7,5,4,4,13,9,1
ST NICHOLAS HOSPITAL,4,13,2,5,5,11,22,1
FIRSTHEALTH MOORE REGIONAL HOSPITAL,5,19,5,5,5,10,6,1
BERKELEY MEDICAL CENTER,3,19,3,3,1,5,11,0
"CALDWELL MEMORIAL HOSPITAL, INC",4,28,4,4,3,13,18,1
CHRISTUS MOTHER FRANCES HOSPITAL,4,17,4,5,3,16,4,1
CONWAY MEDICAL CENTER,3,30,5,1,1,12,18,0
ELY BLOOMENSON COMMUNITY HOSPITAL,4,3,4,1,5,8,21,0
MITCHELL COUNTY HOSPITAL,4,22,5,4,1,10,25,0
PARMER COUNTY COMMUNITY HOSPITAL,3,8,3,3,1,19,16,0
HOLZER MEDICAL CENTER,3,30,2,5,1,12,2,0
LINCOLN COMMUNITY HOSPITAL,3,13,2,3,3,5,21,0
SCENIC MOUNTAIN MEDICAL CENTER,3,7,5,2,2,14,21,0
STORY COUNTY HOSPITAL,3,11,3,4,1,17,18,0
METRO NASHVILLE GENERAL HOSPITAL,3,20,2,4,2,14,15,0
LAKESIDE MEDICAL CENTER,4,10,1,5,4,18,21,0
LOGAN COUNTY HOSPITAL,2,16,1,1,2,5,23,0
UNIVERSITY  OF KS HLTH SYSTEM GREAT BEND CAMPUS,4,9,4,5,2,13,11,0
OSBORNE COUNTY MEMORIAL HOSPITAL,2,30,2,1,2,7,5,1
ST LUKE'S HOSPITAL BETHLEHEM,3,29,1,3,3,16,21,0
APPALACHIAN BEHAVIORAL HEALTH CARE,4,17,4,4,4,20,15,1
ST VINCENT CLAY HOSPITAL INC,5,21,5,5,4,10,12,1
GLEN OAKS HOSPITAL,2,24,1,1,4,8,6,1
STAFFORD COUNTY HOSPITAL,3,3,1,2,5,5,24,0
UNITYPOINT HEALTH - MERITER,4,2,5,5,2,12,16,0
ARTESIA GENERAL HOSPITAL,4,4,5,3,4,7,8,1
STRINGFELLOW MEMORIAL HOSPITAL,4,13,5,2,5,13,30,0
NOVANT HEALTH THOMASVILLE MEDICAL CENTER,2,10,2,3,1,8,29,0
ANTELOPE VALLEY HOSPITAL,3,22,3,4,2,18,26,0
LEGACY MERIDIAN PARK MEDICAL CENTER,4,16,5,2,5,19,28,0
MEMORIAL HERMANN TEXAS MEDICAL CENTER,5,21,3,5,5,13,8,1
AVERA GREGORY HOSPITAL,3,12,2,2,4,8,15,0
ST MARGARETS HOSPITAL,3,4,3,4,1,15,7,0
HEALTHBRIDGE CHILDREN'S HOSPITAL - ORANGE,2,17,1,1,4,19,20,0
HILL COUNTRY MEMORIAL HOSPITAL INC,2,10,1,2,3,16,9,0
MASSACHUSETTS EYE AND EAR INFIRMARY -,3,9,4,1,3,10,27,0
GATEWAY REGIONAL MEDICAL CENTER,3,24,3,1,4,14,16,1
MUNSON HEALTHCARE CHARLEVOIX HOSPITAL,5,25,4,5,5,15,22,1
CLOVIS COMMUNITY MEDICAL CENTER,4,25,5,4,3,13,20,0
GRIFFIN MEMORIAL HOSPITAL,3,5,2,1,5,8,1,1
KOHALA HOSPITAL,4,25,5,5,2,16,10,0
WAKEMED,5,17,5,5,4,11,17,1
SANTA CRUZ VALLEY REGIONAL HOSPITAL,4,22,5,3,3,7,30,0
VASSAR BROTHERS MEDICAL CENTER,4,22,3,5,3,16,6,1
ALFRED I DUPONT HOSPITAL FOR CHILDREN,5,8,5,5,3,7,5,0
ALLEGHENY VALLEY HOSPITAL,5,23,4,5,4,11,3,1
ABRAHAM LINCOLN MEMORIAL HOSPITAL,3,24,5,2,1,12,15,0
HOSPITAL PAVIA SANTURCE,3,21,1,2,4,17,25,0
INSTITUTE FOR ORTHOPAEDIC SURGERY,2,22,3,1,1,15,21,0
METHODIST HOSPITAL OF SOUTHERN CA,3,20,1,4,3,7,14,0
JACKSON PURCHASE MEDICAL CENTER,3,26,3,4,2,16,23,0
BAYLOR SCOTT AND WHITE EMERGENCY HOSPITAL AUBREY,3,3,2,4,3,11,19,0
ST FRANCIS HOSPITAL,4,10,5,3,3,6,9,0
ASPEN MOUNTAIN MEDICAL CENTER,3,13,2,3,2,10,20,0
NOVANT HEALTH ROWAN MEDICAL CENTER,4,21,4,4,3,15,9,1
LANE COUNTY HOSPITAL,3,22,1,3,4,9,6,1
CLARK REGIONAL MEDICAL CENTER,3,19,2,2,4,6,11,1
ST JOSEPH HOSPITAL,4,4,3,5,3,16,8,0
CENTER FOR BEHAVIORAL MEDICINE,3,7,2,3,2,8,6,0
MORTON COUNTY HOSPITAL,4,4,3,4,4,20,9,1
HEART OF TEXAS MEMORIAL HOSPITAL,4,4,5,3,3,20,23,0
BLANCHARD VALLEY HOSPITAL,2,23,2,1,3,19,5,1
SAINT THOMAS HOSPITAL FOR SPECIALTY SURGERY,4,16,4,3,5,18,23,1
ASCENSION GENESYS HOSPITAL,3,23,4,1,2,10,11,0
CHI HEALTH MISSOURI VALLEY,5,23,3,5,5,17,13,1
PUSHMATAHA COUNTY TOWN OF ANTLERS HOSPITAL,5,14,4,4,5,5,21,1
BUFFALO PSYCHIATRIC CENTER,3,27,1,1,5,14,21,1
MOCCASSIN BEND MENTAL HEALTH INSTITUTE,4,12,4,3,4,20,28,0
AURORA LAS ENCINAS HOSPITAL,4,18,3,3,4,6,6,1
UNIVERSITY OF MISSOURI HEALTH CARE,3,15,5,3,1,13,5,0
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,3,21,2,3,4,19,26,0
EASTERN MAINE MEDICAL CENTER,4,22,2,5,3,20,24,0
BRENTWOOD HOSPITAL,5,5,5,4,5,15,5,1
D C H REGIONAL MEDICAL CENTER,4,28,2,5,3,20,16,1
PROVIDENCE SAINT JOSEPH MEDICAL CTR,4,16,3,3,4,5,26,0
VALLEY BEHAVIORAL HEALTH SYSTEM,3,26,1,4,2,20,23,0
HERINGTON MUNICIPAL HOSPITAL,4,29,5,2,3,20,23,0
EASTERN NEW MEXICO MEDICAL CENTER,3,9,4,3,2,17,24,0
WATAUGA MEDICAL CENTER,3,19,1,4,4,18,15,1
VIRGINIA HOSPITAL CENTER,3,2,2,5,2,16,30,0
ST JOSEPH'S HOSPITAL,4,11,3,3,4,8,28,0
CONNECTICUT CHILDRENS MEDICAL CENTER,3,14,3,2,2,16,5,0
AVENTURA HOSPITAL AND MEDICAL CENTER,4,19,3,4,5,10,14,1
OZARK HEALTH,3,17,4,1,3,13,23,0
"MEMORIAL HOSPITAL, THE",3,3,3,3,3,13,27,0
MERCY HOSPITAL BOONEVILLE,3,5,3,1,5,9,13,1
BLUEGRASS COMMUNITY HOSPITAL,2,3,1,2,2,10,10,0
CHILDREN'S HOSPITAL OF ORANGE COUNTY,3,21,3,3,3,20,17,0
UPPER CONNECTICUT VALLEY HOSPITAL,4,10,3,3,4,15,13,1
GREAT RIVER MEDICAL CENTER,2,12,1,3,1,19,12,0
SAINT JOHN HOSPITAL,3,23,4,3,1,6,3,0
DUBLIN SPRINGS,3,14,2,3,3,10,25,0
METHODIST FREMONT HEALTH,3,17,2,2,3,11,18,0
NORTHEAST GEORGIA MEDICAL CENTER BARROW,4,30,5,1,5,15,8,1
UAB CALLAHAN EYE HOSPITAL AUTHORITY,2,18,2,2,1,7,24,0
EMERALD COAST BEHAVIORAL HOSPITAL,2,30,3,1,1,16,20,0
FILLMORE COMMUNITY HOSPITAL,2,6,1,1,3,19,7,0
NEWBERRY COUNTY MEMORIAL HOSPITAL,4,23,5,5,1,9,24,0
BRAXTON COUNTY MEMORIAL HOSPITAL,4,11,4,4,3,11,10,0
BHC STREAMWOOD HOSPITAL INC,4,27,5,5,2,16,7,1
LAKE HURON MEDICAL CENTER,5,3,5,5,5,16,13,1
SHERIDAN MEMORIAL HOSPTIAL,4,4,3,4,5,16,8,1
UCSF MEDICAL CENTER,4,17,2,5,4,9,27,0
ASCENSION PROVIDENCE ROCHESTER HOSPITAL,4,5,5,2,4,6,19,0
MEADOWVIEW REGIONAL MEDICAL CENTER,2,6,1,4,1,13,19,0
MANCHESTER MEMORIAL HOSPITAL,3,29,2,2,4,5,18,1
GEORGETOWN COMMUNITY HOSPITAL,3,30,3,4,2,10,8,1
CHRISTUS SANTA ROSA MEDICAL CENTER,2,7,3,2,1,14,12,0
MEDICAL CITY LAS COLINAS,4,21,4,5,3,14,3,1
PALMDALE REGIONAL MEDICAL CENTER,3,10,2,2,4,6,3,1
PAWNEE COUNTY MEMORIAL HOSPITAL,2,12,3,1,1,11,15,0
FITZGIBBON HOSPITAL,4,7,5,4,1,10,28,0
ROSEBUD HEALTH CARE CENTER,4,19,3,4,3,17,14,0
NORTHRIDGE HOSPITAL MEDICAL CENTER,3,9,4,3,1,18,17,0
KENTUCKIANA MEDICAL CENTER LLC,3,9,2,1,5,20,19,1
"MERCY HOSPITAL ARDMORE, INC",3,27,3,2,2,18,29,0
PIEDMONT ATHENS REGIONAL MEDICAL CENTER,4,21,4,3,4,8,15,1
RUSH MEMORIAL HOSPITAL,2,14,1,3,1,15,23,0
ANDERSON COUNTY HOSPITAL,3,25,2,3,3,9,5,1
WAUKESHA COUNTY MENTAL HEALTH CTR,4,7,5,1,4,15,13,0
ONEIDA HEALTH HOSPITAL,2,2,2,2,2,9,10,0
DENVER SPRINGS,3,12,3,3,2,11,1,0
MEDICAL COLLEGE OF VIRGINIA HOSPITALS,4,16,4,1,5,12,23,1
SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,3,13,4,1,4,16,5,1
NORWALK HOSPITAL ASSOCIATION,3,19,3,3,2,5,5,0
NEWARK-WAYNE COMMUNITY HOSPITAL,4,27,3,5,2,17,20,0
WELLSTAR NORTH FULTON HOSPITAL,2,18,1,2,1,12,23,0
INGALLS MEMORIAL HOSPITAL,3,14,3,2,4,9,6,1
TACOMA GENERAL ALLENMORE HOSPITAL,5,9,4,5,4,16,12,1
SETON SOUTHWEST HOSPITAL,4,19,3,4,5,14,6,1
NORWEGIAN-AMERICAN HOSPITAL,3,20,2,5,1,17,1,0
SUMNER COMMUNITY HOSPITAL,2,2,2,2,2,5,21,0
CATSKILL REGIONAL MEDICAL CENTER - G HERMANN SITE,3,29,4,2,2,7,24,0
"BHC MESILLA VALLEY HOSPITAL, LLC",4,16,3,5,2,15,5,0
HARBOR OAKS HOSPITAL,4,30,4,2,4,19,11,1
BCA STONECREST CENTER,4,18,4,3,3,10,3,1
KOSSUTH REGIONAL HEALTH CENTER,3,23,1,4,2,18,6,1
BANNER BEHAVIORAL HEALTH HOSPITAL,3,8,2,4,3,13,6,0
VIRGINIA MASON MEDICAL CENTER,3,25,5,1,3,5,20,0
GUNDERSEN PALMER LUTHERAN HOSPITAL AND CLINICS,2,23,1,1,4,14,3,1
